type,prix,adresse,image
Chaussures enfants,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg
Chaussures enfants,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698971_uploaded_image1_1767319248.jpg
Chaussures enfants ,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662804_uploaded_image1_1765242328.jpg
Chaussures enfants,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662795_uploaded_image1_1765241951.jpg
Chaussures enfants,5 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5606532_uploaded_image1_1762343319.jpg
Chaussures enfants ,5 000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg
Baskets Adidas enfants ,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg
Baskets Nike ,14 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg
Chaussures enfants,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5556000_uploaded_image1_1759458374.jpg
Chaussures enfant,2 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5555999_uploaded_image1_1759458125.jpg
Baskets Nike TN pour enfants,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg
Chaussures Jordan enfants,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg
Chaussures Jordan enfants,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5551836_uploaded_image1_1759300588.jpg
Chaussures enfants,5 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg
Chaussures enfant,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5542655_uploaded_image1_1758784796.jpg
Chaussures enfants,Prix sur demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5540293_uploaded_image1_1758655238.jpg
Chaussures enfants ,18 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5515698_uploaded_image1_1757382428.jpg
Chaussures enfants ,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5515694_uploaded_image1_1757382135.jpg
Chaussures pour enfants ,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5512056_uploaded_image1_1757170918.jpg
Chaussures enfants et bébés,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5507047_uploaded_image1_1756915193.jpg
Chaussures enfants ,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5503839_uploaded_image1_1756775841.jpg
Chaussures enfants ,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5503837_uploaded_image2_1756775448.jpeg
Chaussures enfants,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5494505_uploaded_image1_1756248709.jpg
Bottes de pluie pour fille de 3 ans,15 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5491455_uploaded_image1_1756082236.jpg
Chaussures enfants,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg
Chaussures enfants,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5416767_uploaded_image1_1752155258.jpg
Chaussures enfants,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg
Chaussures enfants ,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg
Chaussures enfants ,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg
Chaussures enfants,3 500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg
