type,prix,adresse,image
Dior b22,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666578_uploaded_image1_1765401789.jpg
Nike Air Max 95,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666571_uploaded_image1_1765401673.jpg
Baskets Air Max 95,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656457_uploaded_image1_1764881079.jpg
Baskets Saucony,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656454_uploaded_image1_1764880975.jpg
Baskets Asic 1130,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656446_uploaded_image1_1764880658.jpg
Sandale Dior alpha,17 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656452_uploaded_image1_1764880848.jpg
Baskets Louis Vuitton,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656449_uploaded_image1_1764880744.jpg
Baskets New Balance 740,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656445_uploaded_image1_1764880538.jpg
Asic kayono 14,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656440_uploaded_image1_1764880329.jpg
Asic kayono,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656438_uploaded_image1_1764880204.jpg
Chaussures Nike shox R4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670082_uploaded_image1_1765572126.jpg
Baskets Air force one,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670093_uploaded_image1_1765572493.jpg
Baskets Nike shox,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670096_uploaded_image1_1765572588.jpg
Baskets Air Force one low,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670087_uploaded_image1_1765572281.jpg
Baskets Vomero 5 grey,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670091_uploaded_image1_1765572375.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677895_uploaded_image1_1766004947.jpg
Louis vuitton ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677899_uploaded_image1_1766005001.jpg
Baskets Vomero 5 Grey,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670080_uploaded_image1_1765572066.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677883_uploaded_image1_1766004732.jpg
Louis vuitton ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677901_uploaded_image1_1766005049.jpg
Louis vuitton ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677903_uploaded_image1_1766005102.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677887_uploaded_image1_1766004839.jpg
Air Max 95,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677885_uploaded_image1_1766004784.jpg
Lacoste Gripshot,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683925_uploaded_image1_1766347889.jpg
Vans,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683921_uploaded_image1_1766347767.jpg
Nike Air force 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683935_uploaded_image1_1766348133.jpg
Lacoste Gripshot ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683928_uploaded_image1_1766347979.jpg
Pull capuche,12 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5699793_uploaded_image1_1767367425.jpg
Chaussures  homme,15 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5699778_uploaded_image1_1767367167.jpg
Chaussures  homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698978_uploaded_image2_1767319835.jpeg
Chaussures  homme,30 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698977_uploaded_image1_1767319747.jpg
Chaussures homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698976_uploaded_image1_1767319672.jpg
Chaussures homme,35 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698975_uploaded_image1_1767319515.jpg
Chaussures homme,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698973_uploaded_image1_1767319435.jpg
Chaussures homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698972_uploaded_image1_1767319318.jpg
Crocs,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698297_uploaded_image1_1767266322.jpg
Chaussures orthopédique,20 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5696622_uploaded_image1_1767118569.jpg
Babouches Mercedes,18 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691951_uploaded_image1_1766844530.jpg
Babouches Kubok,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691946_uploaded_image1_1766844142.jpg
Mocassins homme ,20 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691943_uploaded_image1_1766843848.jpg
Chaussures  homme,10 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5686549_uploaded_image1_1766499161.jpg
Chaussures  homme,16 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5686359_uploaded_image1_1766491043.jpg
Baskets homme,23 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5684984_uploaded_image1_1766412191.jpg
Chaussures hommes,12 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5684967_uploaded_image1_1766411263.jpg
Chaussures en cuir,17 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683541_uploaded_image1_1766326033.jpg
Baskets New Balance ,15 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683537_uploaded_image1_1766325898.jpg
Baskets New Balance ,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683536_uploaded_image1_1766325755.jpg
Chaussures homme ,25 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682391_uploaded_image1_1766245145.jpg
Baskets homme,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682382_uploaded_image1_1766244995.jpg
