type,prix,adresse,image
Djallaba enfant,8 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5700235_uploaded_image1_1767387346.jpg
Blouson pour enfants original,8 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5688318_uploaded_image1_1766596541.jpg
Ensemble blouson bébé et enfant,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5695010_uploaded_image1_1767029706.jpg
Friperie enfants ,3 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693218_uploaded_image1_1766931703.jpg
Pantalon pour enfants original,8 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636849_uploaded_image1_1763913455.jpg
Emsemble coton pour enfants,7 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636847_uploaded_image1_1763913261.jpg
Pulls et sweat-shirt enfants 4 ans,1 500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5677797_uploaded_image1_1766001882.jpg
3 bavoirs bandana,10 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664243_uploaded_image1_1765306309.jpg
Blousons enfants,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662807_uploaded_image1_1765242466.jpg
Robe brodée ,6 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5657323_uploaded_image1_1764934741.jpg
Robe lin,6 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5657317_uploaded_image1_1764934579.jpg
Robe,7 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5657313_uploaded_image1_1764934382.jpg
Sous vêtements ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5550798_uploaded_image1_1759251038.jpg
Ensemble coton pour enfants de 3ans 7ans,4 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549301_uploaded_image1_1759186593.jpg
Lacoste coton pour enfants de 3ans à 16ans,3 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549305_uploaded_image1_1759186714.jpg
Pantalon jeans ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532285_uploaded_image1_1758208106.jpg
Lacoste coton pour enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532289_uploaded_image1_1758208206.jpg
Vêtements enfants ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532267_uploaded_image1_1758207469.jpg
Pantalon pour enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532277_uploaded_image1_1758207853.jpg
Short enfants ,6 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532259_uploaded_image1_1758207295.jpg
Ensemble dêbadeur enfants,2 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524248_uploaded_image1_1757797576.jpg
Ensemble costume pour enfants,35 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5528024_uploaded_image1_1758018544.jpg
Pantalon  enfant ,100 000 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528006_uploaded_image1_1758017811.jpg
Friperie enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528003_uploaded_image1_1758017605.jpg
Ensembles lacost pour garçon ,3 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524048_uploaded_image1_1757787175.jpg
Vêtements pour enfants,3 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520989_uploaded_image1_1757622885.jpg
Vêtements pour enfants,4 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520983_uploaded_image1_1757622690.jpg
Vêtements pour enfants,3 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520979_uploaded_image1_1757622379.jpg
Vêtements pour enfants,3 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520806_uploaded_image1_1757613666.jpg
Ensemble bas-large,6 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5478990_uploaded_image1_1755394245.jpg
Robe nuafna mélange géginer,10 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg
Vêtements d'été pour fille,3 500,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5428559_uploaded_image1_1752775679.jpg
Djalabé pour enfants,10 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg
Vêtements enfants,3 500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5411543_uploaded_image1_1751909046.jpg
