type,prix,adresse,image
Chemise Aladji ,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704575_uploaded_image1_1767633661.jpg
Chemise Aladji simple,10 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704570_uploaded_image1_1767633532.jpg
Djialabé,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704567_uploaded_image2_1767633428.jpeg
Djialabé,17 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704563_uploaded_image1_1767633321.jpg
Djialabé,15 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704560_uploaded_image1_1767633210.jpg
Liquête djiene ,10 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5682243_uploaded_image1_1766238454.jpg
Chemise unique original 100℅ coton,5 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5682233_uploaded_image1_1766238315.jpg
Liquette homme et femme,5 500,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5703148_uploaded_image1_1767562157.jpg
Jeans homme ,4 500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5702153_uploaded_image1_1767517880.jpg
Jacket en jeans ,12 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657793_uploaded_image1_1764952502.jpg
Djalabeh ,10 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657723_uploaded_image1_1764949964.jpg
Djalabeh ,12 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657721_uploaded_image1_1764949913.jpg
Pantalon kaki ,8 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657707_uploaded_image1_1764949208.jpg
Caleçons ,1 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657705_uploaded_image1_1764949059.jpg
Jacket ,14 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657709_uploaded_image1_1764949418.jpg
Chemise,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657708_uploaded_image1_1764949263.jpg
Pull-over ,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657710_uploaded_image1_1764949465.jpg
Gilet,8 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657703_uploaded_image1_1764948943.jpg
Ensemble lacostes + kaki,13 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5669734_uploaded_image1_1765555257.jpg
Blouson ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657571_uploaded_image1_1764942132.jpg
Ensemble homme ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657576_uploaded_image1_1764942384.jpg
Ensemble,22 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682171_uploaded_image1_1766235033.jpg
Ensemble en jeans ,20 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5663474_uploaded_image1_1765280744.jpg
